Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,IGN_title,IGN_year,IGN_score,IGN_source,GS_title,GS_year,GS_review,GS_metacritic,GS_user,GS_source,Gs_source
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,343 Industries,M,Halo 4,2012,9.8,https://ca.ign.com/games/halo-4/xbox-360-110563,Halo 4,2012,9,87,8.6,https://www.gamespot.com/halo-4/,
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Polyphony Digital,T,Gran Turismo 2,,9,https://ca.ign.com/articles/1999/12/21/gran-turismo-2,Gran Turismo 2,1999,8.5,93,8.7,https://www.gamespot.com/gran-turismo-2/,
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,,,,,Just Dance 2,2010,7,74,7.9,https://www.gamespot.com/just-dance-2/,
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,,,,,Call of Duty: Ghosts,2013,8,68,5.8,https://www.gamespot.com/call-of-duty-ghosts/,
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,Call of Duty 4: Modern Warfare,2008,9.4,https://ca.ign.com/games/call-of-duty-4-modern-warfare/ps3-902587,Call of Duty 4: Modern Warfare,2007,7,92,9.1,https://www.gamespot.com/call-of-duty-4-modern-warfare/,
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,,,,,,,Donkey Kong Country,1994,9.1,,8.8,https://www.gamespot.com/donkey-kong-country/,
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,,,Minecraft,2009,9,https://ca.ign.com/games/minecraft/pc-92086,Minecraft,2009,8.5,,8.7,https://www.gamespot.com/minecraft/,
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,E,,,,,Animal Crossing: New Leaf,2013,8,88,8.7,https://www.gamespot.com/animal-crossing-new-leaf/,
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,Mario Party DS,2007,7,https://ca.ign.com/games/mario-party-ds/nds-949643,Mario Party DS,2007,8,72,8.1,https://www.gamespot.com/mario-party-ds/,
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,The Elder Scrolls V: Skyrim,2011,9.5,https://ca.ign.com/games/the-elder-scrolls-v-skyrim/ps3-93394,The Elder Scrolls V: Skyrim,2011,9,94,9,https://www.gamespot.com/the-elder-scrolls-v-skyrim/,
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,,,,,,,Super Mario Kart,1992,,,8.9,https://www.gamespot.com/super-mario-kart/,
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,FIFA 16,2015,7.8,https://ca.ign.com/games/fifa-2016/ps4-20036745,FIFA 16,2015,9,81,6.5,https://www.gamespot.com/fifa-16/,
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,Halo 2,2004,9.8,https://ca.ign.com/games/halo-2/xbox-482228,Halo 2,2004,9.4,72,9,https://www.gamespot.com/halo-2/,
